CNGDSTCD	LONGITUD	LATITUDE
105	-86.568502	34.783368
107	-86.80917	33.50223
102	-86.17401	32.362609
105	-86.63842	34.722818
107	-86.295677	32.364317
107	-87.560858	33.212525
107	-87.545766	33.2144
103	-85.94653	32.924429
105	-86.96514	34.805625
102	-86.177351	32.369939
103	-85.492409	32.600201
107	-86.853636	33.515453
103	-85.031485	32.42391
107	-87.023531	32.42443
102	-86.216488	32.342684
102	-85.836956	31.297496
101	-87.779758	30.852045
102	-86.21641	32.384181
104	-85.991299	33.991866
104	-86.196979	34.278124
102	-85.46355	31.316086
104	-86.781745	34.07341
107	-87.01324	32.445611
107	-86.832299	33.468105
102	-86.285313	32.350939
105	-87.662062	34.859089
105	-86.573817	34.772116
102	-86.392369	32.582312
103	-85.766644	33.822128
101	-87.085829	31.101995
106	-86.707387	33.652439
105	-86.949131	34.65428
107	-87.316127	32.630526
107	-86.890234	33.451673
107	-88.186077	32.59244
102	-86.452262	31.322947
107	-87.317998	32.622359
107	-86.908605	33.481306
101	-88.128934	30.793247
106	-86.865099	33.10625
104	-87.67733	34.739567
105	-87.680999	34.80658
105	-85.911664	34.545471
105	-86.661628	34.756628
101	-87.326352	31.488925
103	-86.162213	32.383091
102	-86.964486	31.46071
101	-88.056982	30.693972
106	-86.790932	33.464578
107	-87.033826	32.420358
107	-87.56148	33.120531
104	-86.169483	34.200648
101	-88.18189	30.695081
101	-88.138199	30.694751
106	-86.749045	33.378935
107	-87.585242	33.199228
103	-86.113675	33.434258
107	-86.343057	32.350109
102	-85.950191	31.800128
103	-85.710315	32.431021
101	-87.91163	30.639329
104	-87.265034	33.835785
200	-149.826135	61.189554
200	-149.111341	61.59843
200	-147.824751	64.857053
200	-134.636346	58.38427
200	-149.804242	61.191235
200	-149.444573	60.110727
200	-149.840178	61.195786
200	-146.17799	61.122364
200	-149.856954	61.181443
200	-147.82863	64.858626
406	-112.113845	33.580985
407	-111.98646	33.40334
406	-111.976357	33.602593
402	-110.927187	32.235657
408	-112.180861	33.620887
406	-112.092247	33.577738
407	-112.175304	33.442262
406	-112.115546	33.560821
409	-111.855281	33.39207
402	-110.977571	32.27094
401	-111.604793	35.211152
402	-110.872305	32.237253
407	-112.157344	33.537249
407	-112.15007	33.525384
409	-111.940011	33.421922
404	-114.495968	32.689306
403	-110.950769	32.232071
402	-110.927321	32.252384
406	-111.925481	33.623979
401	-111.652501	32.957092
402	-110.895086	32.236736
404	-114.328134	34.475275
402	-109.690422	31.365757
401	-111.625936	35.197151
409	-111.860423	33.347586
402	-110.856785	32.21901
409	-112.104445	33.566087
409	-111.858305	33.376583
401	-109.761664	32.840719
404	-112.452285	34.615678
406	-111.846477	33.60715
408	-112.188334	33.567483
407	-112.129917	33.512172
